City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,methoni,36.8197,21.7049,316.6,45,0,7.94,GR,1628157155
270,pringsewu,-5.3582,104.9744,298.99,88,98,1.69,ID,1628157156
271,isangel,-19.55,169.2667,294.87,64,46,0.6,VU,1628157156
272,aklavik,68.2191,-135.0107,284.61,52,100,4.29,CA,1628157156
273,vila velha,-20.3297,-40.2925,292.12,88,75,3.6,BR,1628157157
274,yamada,39.4667,141.95,298.39,95,2,2.63,JP,1628157157
275,yuzhno-kurilsk,44.0306,145.8556,293.41,98,65,2.56,RU,1628157158
276,kefamenanu,-9.4467,124.4781,295.74,79,76,3.19,ID,1628157158
277,maceio,-9.6658,-35.7353,293.84,100,75,1.54,BR,1628157158
278,abu samrah,35.3029,37.1841,313.17,12,0,3.61,SY,1628157159
279,bandundu,-3.3167,17.3667,311.02,21,5,1.09,CD,1628157159
280,tarija,-21.5355,-64.7296,281.05,88,72,0.9,BO,1628157159
281,zyryanka,65.75,150.85,278.88,91,100,5.08,RU,1628157160
282,nizhniy ingash,56.2,96.53,296.91,62,100,1.4,RU,1628157160
283,sibolga,1.7427,98.7792,301.76,69,91,2.1,ID,1628157161
284,ewa beach,21.3156,-158.0072,299.12,66,1,5.81,US,1628157044
285,ambanja,-13.6833,48.45,300.11,47,0,4.03,MG,1628157161
286,daru,-9.0763,143.2092,297.84,78,78,7.34,PG,1628157162
287,andalucia,4.1706,-76.1664,290.94,85,94,0.64,CO,1628157163
288,itapetininga,-23.5917,-48.0531,285.74,94,100,3.68,BR,1628157163
289,fortuna,40.5982,-124.1573,286.72,74,90,0.45,US,1628157163
290,mount isa,-20.7333,139.5,290.02,23,86,3.6,AU,1628157164
291,tilichiki,60.4667,166.1,279.64,94,100,2.84,RU,1628157164
292,marawi,7.9986,124.2928,294.07,84,100,1.11,PH,1628157165
293,cockburn town,21.4612,-71.1419,301.21,78,45,8.45,TC,1628157165
294,tsumeb,-19.2333,17.7167,296.9,18,0,4.3,NA,1628157165
